Review_Date,Author,Rating,Review_Title,Review,Review_Url
15 October 2019,TVpotatoCat,7," I would not call it a masterpiece as some did
",There is no doubt that the movie was well thought of - from the plot to execution. I must praise Phoenix's superb acting. He managed to portray very believably the awkward social reject and also the crazy murderer that he became. I really think it's a role only few could do. It was also very interesting to watch how he deteriorated mentally and little by little gave up on trying to fit into society. Gotta hand it to the script writer - the plot was unpredictable.,/review/rw5201147/?ref_=tt_urv
5 October 2019,brianmlucas,9," Not a spoon feeding of CGI fueled faux drama.
","The movie affects you in a way that makes it physically painful to experience, but in a good way.",/review/rw5201147/?ref_=tt_urv
25 October 2019,ernestoherreraf,7," Is it great? I don't know.
","When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.",/review/rw5201147/?ref_=tt_urv
1 September 2019,Aman_Goyal,10," Perfect in every aspect.
","Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife.
Remarkable Direction, Cinematography, Music and the Acting.
Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message.
It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too.
The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different.
It's BELIEVABLE.
There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people.
Consider this a wake up call, a message, but first a film. A PERFECT film.",/review/rw5201147/?ref_=tt_urv
1 September 2019,Come-and-Review,10," A psychological study, rather than a superhero flick
","I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.",/review/rw5201147/?ref_=tt_urv
3 October 2019,mariamelkott,10," Went for a second time to watch
","I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.",/review/rw5201147/?ref_=tt_urv
4 October 2019,VallejoDiego,10," JUST AMAZING. How does this movie exist.
","Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director",/review/rw5201147/?ref_=tt_urv
3 October 2019,MihaVrhunc,10," Outstanding movie with a haunting performance and best character development ever seen
","Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.",/review/rw5201147/?ref_=tt_urv
7 October 2019,lesterarnoldpinto,10," Only certain people can relate
","This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.",/review/rw5201147/?ref_=tt_urv
7 October 2019,RayCharles81,6," Worthy Acting Performance By Phoenix Worth a Watch, but This Joker is Not Smart Enough to Become the Joker We've Come to Know
","Here, we have a broken man whose mental instability and illness is the catalyst for what Arthur Fleck eventually becomes, but I mean nowhere in this movie do we witness any kind of intellectual prowess, high intelligence, or even any miniscule reference to his wit and smarts to believe he has what it takes to become the Joker from the previous films.",/review/rw5201147/?ref_=tt_urv
