Review_Date,Author,Rating,Review_Title,Review,Review_Url
29 November 2003,Smells_Like_Cheese,7," Men in Black: The Galaxy Defenders
","God, do I remember when this movie came out in the summer of '97. This movie brought aliens back in the strongest way possible, everyone was singing Will Smith's catchy song of the same title. But I remember seeing this movie and just wearing out the VHS when we got it. As a 12 year old kid, I just adored this movie and so badly wanted to be apart of the Men in Black. I thought they were so cool. Years later, I got the DVD because I wanted to go for a trip down memory lane, this may not be as cool as when I was a kid but this is still a very fun sci-fi flick that makes you laugh, squirm and also has some good scares. There is a reason why Will Smith is a star, he made this movie a riot to watch and has every star quality you could imagine. He and Tommy Lee Jones take us on an incredible ride through our world where the person that lives next door to you just might be an alien.",/review/rw1444303/?ref_=tt_urv
19 July 2004,Ben_Cheshire,10," Fun, memorable sci-fi comedy has lots of personality thanks to director, composer, and two lead actors.
","Agent K (Jones)'s partner retires, so he has to find a new one. Street cop Will Smith seems an unlikely contender to join this very special service and help K battle illegal aliens.",/review/rw1444303/?ref_=tt_urv
11 December 2004,Chromium_5,8," Smart, funny spoof that is impossible not to like!
","""Men in Black"" and ""Galaxy Quest"" are in my mind the best sci-fi comedies ever made, because they are both hilarious parodies of two different cultures. Whereas the latter spoofed obsessed fans who take sci-fi entertainment WAY too seriously, this one spoofs the paranoid, tin-foil-hat brand of conspiracy theorists. It has funny characters, witty lines, and does not at all take itself seriously.",/review/rw1444303/?ref_=tt_urv
10 July 2005,Aaron1375,8," Fast moving science fiction comedy.
","This movie was really fun to watch the first time I saw it in theaters, upon subsequent viewings, however, it loses its luster. Still though, it is still a fun movie to watch. Unlike the sequel which rushes us through the story, this one takes a bit more time developing the characters even though it is only about ten minutes longer. Both Tommy Lee Jones and Will Smith are very good and funny, especially Smith because he is the new guy so he is seeing all the weird aliens and such for the first time. This is also something missing from the sequel. In the end though the reason I probably like this one so much is that it sort of reminds me of a Ghostbuster movie, and seeing as how we will most likely never see another sequel to that movie it is nice to see a movie sort of like it in that they are keeping tabs and hunting aliens rather than ghosts. The pug dog scene is funny, and the dog is not over used as in the sequel, and there is also a funny scene where Will Smith must deliver an alien baby...their main objective in this one is to track down an alien insect that has hijacked the skin of a guy and is trying to find a universe. If he succeeds the Earth is destroyed, of course Tommy Lee's character is so calm about the whole situation that you feel you have nothing to worry about. So for a funny movie that has great scenes of Will Smith training and becoming a Man in Black watch this film and do yourself a favor and skip part two...not that it was entirely bad, I liked it okay, but it just seems like an unnecessary sequel.",/review/rw1444303/?ref_=tt_urv
23 January 2007,mjw2305,8," Funny, effects laden sci-fi comedy
","Agents Jay (Will Smith) and Kay (Tommy Lee Jones) protect our world, that is crammed full of aliens who live among us, and most of them are respectful citizens of planet Earth, but every race can have a bad apple or two. Smith and Jones make an unlikely pair, but they work in harmony really well here, and it's a pretty funny adventure.",/review/rw1444303/?ref_=tt_urv
4 January 2015,rmax304823,7," Pretty Funny.
","This had been around on television for some time and I'd avoided it because it seemed so popular among the crowd that likes to see gore and ooze on the screen, and because I tuned in for a few minutes and caught scene in which the two men in black (Smith and Jones -- two exotic names for you) used ray guns to blow the head off an alien, and then another different head, covered with elastic glue, wriggled into sight. Enough is enough.",/review/rw1444303/?ref_=tt_urv
7 August 2000,tfrizzell,," An Unlikely Comedy Team Carries This Film
","""Men in Black"" is a fast-paced action-comedy that over-achieves the whole way.  Tommy Lee Jones and Will Smith make an amazing comedy team as the title characters who protect the Earth from the scum of the universe. Everything is tongue-in-cheek and the whole film works in a really great way.  A great film that benefits from its characters and amazing special effects.  4 out of 5 stars.",/review/rw1444303/?ref_=tt_urv
5 February 2010,AlsExGal,9," Will Smith saves the planet again ... this time in a good film!
","After the horribly cheesy ""Independence Day"" of the previous year, it was great to see the actor that saved that movie from being completely unwatchable - Will Smith - get a chance to save the planet in a quality film. From the opening of the film where ""Mikey"", an illegal alien from another planet is disguised as an illegal alien from another country, to the end when we see the earth just as a marble in a pouch of many belonging to an extraterrestrial being, I found this film to be thought provoking, original, and very funny.",/review/rw1444303/?ref_=tt_urv
15 May 2005,mOVIemAN56,9," Funny Sci-Fi. As Good As Ghostbusters.
","As I stated above, Men In Black is just as good as the sci-fi comedies Ghostbusters I and II. But instead of chasing ghost's we're chasing after rogue aliens.",/review/rw1444303/?ref_=tt_urv
22 April 2004,crowrobot,," One of the best sci-fi comedies ever made.
","As my one line summary says, this is one of the best sci-fi comedies ever made, next to the classic Ghostbusters and the highly underrated Evolution. This movie has action, comedy, and some of the best special effects in the last ten years. Rick Baker, Hollywood's resident 'creature man', as I like to call him, has made such a wide variety of aliens. There's the first alien we see, Mikey; there's the Worm Guys; and the villanous Bug. But there are many others, such as Frank the Pug and the twins. The squid baby is pretty neat. Tommy Lee Jones and Will Smith have an undeniable chemistry together, which repeats itself in the sequel. Linda Fiorentino is also good as the leading lady, and veteran actor Rip Torn is gruff as the head of MIB, Zed. Vincent D'Onofrio is also pretty good. My favorite line: ""No, ma'am. We at the FBI do not have a sense of humor that we are aware of."" All in all, two thumbs up, baby!",/review/rw1444303/?ref_=tt_urv
11 April 2003,george.schmidt,," Alias Smith & Jones
","MEN IN BLACK (1997) ***1/2  Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobahn Fallon.  Giddily hilarious sci-fi comedy: think a 90s ""Ghostbusters"" meets the ""X-Files"": hard-as-nails, deadpan Jones (a great master straight man) is one of many secret agents of MIB (Men In Black) recruiting steetsmart, mouthy Smith (a great wiseass) to team up and stop an intergalactic alien bug (in rotting human form D'Onofrio who gives a brilliant, funny turn) from wiping out the Earth and all mankind.  Incredible out there special effects from ILM and ingenious aliens from self-professed ""Monster Maker"" makeup guru Rick Baker. Hip, clever dialogue and fine chemistry from the odd couple gives this comic book adaptation of Lowell Cunningham a glossy work over including Bo Welch's inventive production design and Danny Elfman's atmospheric score. Fluid direction by Barry Sonnefield.",/review/rw1444303/?ref_=tt_urv
7 June 2021,ma-cortes,6," Fun fantasy movie with Will Smith and Tommy Lee Jones taking on some outrageous insect-type aliens
","Hip Hop Will Smith and deadpan Tommy Lee Jones make an amusing couple of Alien busters by protecting the threatened Earth in this amusing , amazing Sci-Fi comedy . They are two top-secret government operatives investigating aliens visitations on Earth , as Jones must convince Smith to help him save the galaxy , and eventually they must stop an extraterrestrial invasion . Along the way , they are helped by a beautiful forensic : Linda Fiorentino and they often use an artifact to delete records from their past . MIB protecting the Earth from the scum of the Universe . More secretive than the CIA , more powerful than the FBI and they're looking for a few good men . They are the Men in Black.",/review/rw1444303/?ref_=tt_urv
