Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 September 2015,rogerdarlington,," Melancholic but mesmerising
","titular four and half decades and we meet them less than a week before a party to celebrate this special anniversary. That morning, Geoff receives a letter in German which over the next few days provokes a profound re-evaluation of their marriage. Although based on a short story of only 12 pages by David Constantine, the cinematic translation has all sorts of subtle changes, notably adopting the female rather than the male viewpoint.",/review/rw3342999/?ref_=tt_urv
22 August 2015,ilpohirvonen,7," The Sudden Emergence of the Past
","Andrew Haigh's latest film ""45 Years"" (2015) is one of the big film events of this year and not least because of the memorable performances of its two leading actors, Charlotte Rampling and Tom Courtenay. It's a very simple film, granted, but exceptionally good as such. Both performers do an excellent job. Haigh's narrative is character-driven and never self-aware. All seems to be subjected to what is going on inside these characters. The film has been shot in the beautiful English countryside whose unreliable and unpredictable weather plays an integral role in the drama of untold memories, hidden emotions, and their appearance. It is a moving film about time and the complex relations between the past and the present. ",/review/rw3342999/?ref_=tt_urv
28 September 2015,howard.schumann,9," Beautifully told
","William Shakespeare wrote (Sonnet 116), ""Love is not love which alters when it alteration finds, or bends with the remover to remove: O, no! It is an ever-fixed mark that looks on tempests and is never shaken."" Though Shakespeare would not admit impediments to the marriage of true minds, Kate and Geoff Mercer in Andrew Haigh's (""Weekend"") 45 Years find that their marriage may be on shakier grounds than they thought when a letter arrives in the mail that causes them to question the truth of their lifelong connection. Winners of the Silver Berlin Bear at the 2015 Berlinale, Charlotte Rampling (""The Forbidden Room,"") and Tom Courtenay, (""Night Train to Lisbon"") deliver remarkably enduring performances as the childless couple looking forward to the celebration of their 45th wedding anniversary until it is upstaged by an unwanted reminder of the past.",/review/rw3342999/?ref_=tt_urv
24 December 2016,SnoopyStyle,6," quiet drama
",Kate (Charlotte Rampling) is preparing her 45th anniversary party married to Geoff Mercer (Tom Courtenay). They live comfortably childless in rural England. Geoff reveals something about a previous relationship with Katya who died long ago hiking a glacier but the body was only recently discovered. Kate is a little perplexed and struggles to understand the true nature of their relationship.,/review/rw3342999/?ref_=tt_urv
7 January 2016,Sleepin_Dragon,8," A fantastic character study, greatly performed by two greats.
","Kate and Geoff are a mature couple enjoying a peaceful life, their 45 year wedding anniversary is soon approaching, but this sense of calm is broken when Geoff receives a letter, telling him that the body of his first wife Katya has been found in the Swiss mountains. We see the effects on Geoff an Kate during the lead up to their celebration.",/review/rw3342999/?ref_=tt_urv
21 February 2016,Movie_Muse_Reviews,8," It feels slow, but '45 Years' is rich in depth of storytelling and acting
","The life of an old married couple doesn't exactly sound like riveting cinematic fodder, especially for moviegoers below the age of 65, but ""45 Years"" captures the mechanics of relationships, mechanics that are universal and span multiple generations.",/review/rw3342999/?ref_=tt_urv
9 September 2015,davidgee,8," Three people in this marriage (one of them's dead)
","A bitter-sweet love story, more bitter than sweet. With their 45th wedding anniversary looming, Norfolk pensioners Kate and Geoff Mercer get a letter that tells them the body of Geoff's first great love has been found in a glacier in Switzerland.",/review/rw3342999/?ref_=tt_urv
13 May 2017,Imdbidia,8," You never get to know anyone
","45 Years is a almost a theatrical film, with not many characters and a slow-burning, subtle but powerful exploration of couple dynamics, the nature of love and trust, the weight of the past on the present, and who truly are those people with whom we share our lives. There is also a pointy finger to the social façade that many couples show to the world, which is not always as rosy or perfect when they are behind closed doors.",/review/rw3342999/?ref_=tt_urv
2 January 2016,maurice_yacowar,10," marriage shaken by revelation of husband's old affair
","Andrew Haigh's 45 Years is a seismograph of internal feelings, suppressions and revelations. ",/review/rw3342999/?ref_=tt_urv
24 February 2016,Hellmant,7," Really feels like you're watching a couple that's been together for a very long time!
",'45 YEARS': Three and a Half Stars (Out of Five),/review/rw3342999/?ref_=tt_urv
