Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 September 2021,Horror_Flick_Fanatic,7," Unexpected Gem
","This was an unexpected gem. I went into it not having seen the trailer. It's a modern day gothic horror, except it takes place in a women's only boarding house in Cleveland instead of a mansion. The boarding house has a secret that is gradually revealed. The boarding house has gatekeepers that protect and hide those secrets. It has ghosts and supernatural elements, even some brief gore. Cool things happen in the shadowy areas of the frame to get the attention of the protagonist. She gradually uncovers the secrets piece by piece.",/review/rw7400253/?ref_=tt_urv
30 September 2021,Tweekums,7," An atmospheric little horror film
","Ambar is a young Mexican woman living in Cleveland; because she has no documentation she can't get a decent job or find anywhere to live for very long. After being forced to move she finds an advert for cheap accommodation; it is a rather rundown building and Red, the manager, is a bit creepy but with little else to choose from she moves in. She is almost immediately disturbed by strange sounds and nightmares. It isn't long before she is in real danger.",/review/rw7400253/?ref_=tt_urv
2 October 2021,Pairic,7," Meso-American Myths
","No One Gets Out Alive: A ramshackle old home, turned into a boarding house is one of the main stars of this film. It's corridors and dark rooms contain creaks, cries and noises, suggestions that something strange is going on. We know from the prologue that the residence is connected to an archaeological expedition to Meso-America and artifacts from the mission are stored there. Ambar (Cristina Rodlo) is an immigrant, hiding her illegal status, exploited in a sweatshop, trying to buy papers. She moves into the boarding house and encounters ghosts. A tale of terror, exploitation and human sacrifice. Some good ghostly apparitions together with poltergeist effects. This is also a story of a struggle for survival in the physical and spiritual senses, both inside and without the house. Very much influenced by Meso-American mythology. Directed by Santiago Menghini, screenplay by Jon Croker and Fernanda Coppel, based on the 2014 novel by Adam Nevill. On Netflix. 7/10.",/review/rw7400253/?ref_=tt_urv
24 October 2021,paul_haakonsen,5," Watchable, although not an outstanding horror flick...
","I had not even heard about this 2021 horror mystery titled ""No One Gets Out Alive"" prior to sitting down to watch it on Netflix. But I must admit that the synopsis for the movie sounded interesting, and so did the title of the movie. And with it being a new horror movie that I hadn't already seen, of course I had to sit down to watch. I am a horror fan after all.",/review/rw7400253/?ref_=tt_urv
29 September 2021,wesleythegnome,6," Has good elements
","I enjoyed the backstory and circumstances of the protagonist. It felt very realistic, and is the aspect of the movie that I found most gripping. At the start, she's not literally trapped inside the house, she's trapped by her circumstances.",/review/rw7400253/?ref_=tt_urv
30 September 2021,feelreallove-921-845971,7," Pretty Well Done
","A lot of new stuff on Netflix is pretty pathetic. I love horror so figured I'd have a look. The main character has a good back story and stuff that happens along the way makes this more than a slasher film. It creates some real compassion for her. The last scenes are impressive. I tend not to listen to reviewers who have 'read the book' because they don't get that the language of film is different to that of literature (pretty much what Peter Jackson said of LOTR and look at the success of that). Horror is like comedy; it's subjective. Have a look, you might enjoy it.",/review/rw7400253/?ref_=tt_urv
29 September 2021,MikeWright75,5," Not as good as the novel
","If you haven't read the book, then this is a pretty good stand alone bog standard horror. It's creepy and original in parts but sadly, it captures none of the desolation and gothic pagan horror of the book.",/review/rw7400253/?ref_=tt_urv
5 October 2021,kosmasp,7," Living (in) it
",I have to admit I did not even know this was based on a novel (as another reviewer suggests in his review). So obviously I cannot talk about how this fares against the written counterpart/source. Although I reckon it is safe to say that the novel probably is better.,/review/rw7400253/?ref_=tt_urv
30 September 2021,Draysan-Jennings,5," Let me get this straight
","Two brothers sacrifice immigrant women to some giant moth creature thing because one of the brothers is sick. Apparently feeding heads to this monsters vagina helps cure the brothers sickness. Also the ghosts of these women haunt the boarding house they live in. After spending 3 hours watching this film because it couldn't keep my attention, I finally got it. It had a fairly original plot, but for the most part it's basically just a supernatural haunted house flick with a strange monster in the end. Some people will like it some people will hate it. 5 stars.",/review/rw7400253/?ref_=tt_urv
30 September 2021,PedroPires90,6," 3rd act...wow
","This was being a bit generic but with good production values...however, the final act is really great. That creature design by itself it's half star. 😎",/review/rw7400253/?ref_=tt_urv
5 October 2021,BandSAboutMovies,6," I kind of enjoyed it!
","Based on the 2014 novel of the same name by Adam Nevill, this film is about Amber, an illegal immigrant who stayed in Mexico to care for her sick mother until the older woman died. Now in Cleveland, her American dream is constantly destroyed by people taking her dignity, her money and perhaps, they'll even take her life.",/review/rw7400253/?ref_=tt_urv
