Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 December 2019,Top_Dawg_Critic,9," Perfect casting!
","I'm not a real fan of slow paced long movies... unless they are made by Mr. Eastwood. He captures every tense moment, facial expression, or still scene, and manages to fill in more about the story he is telling. Casting was perfection! Paul Walter Hauser needs awards for his performance. Kathy Bates and Olivia Wilde were on point, as was Sam Rockwell and Canadian wannabe Jon Hamm - who is awesome in his TV commercials lol! Directing was perfect, cinematography great, score in line, and the writing was good. Very enjoyable film and I recommend it. It's a well deserved 9/10 from me",/review/rw5333558/?ref_=tt_urv
20 December 2019,Vic_max,," I wasn't going to leave a review until ...
","This movie is a great wake up call about the media. I wasn't going to leave a review until I read the media outcry about the film. I believe in a strong and free media but for all the good can they do, they can also be a self-serving destructive force.",/review/rw5333558/?ref_=tt_urv
18 December 2019,thebricks,10," Excellent portrayal of the sleaziness of law enforcement
","I have experience dealing with the Feds and found this movie incredibly compelling. So much about this movie hit home for me. Just a few examples, when the Feds came to talk to Jewell and tried to make him sign shady documents, bugging his home, the slick self-righteous agent who thinks he decides who is right and wrong, cleaning out his home supposedly looking for evidence, wasting time on easy, harmless suspects instead of finding the real criminals to boost their career. It's sad. All that time spent looking at Richard Jewell as a suspect while the real terrorist got away. They knew he was innocent, all they had to do was actually do some actual investigative, science-based investigative work instead of using confirmation bias.",/review/rw5333558/?ref_=tt_urv
11 December 2019,flicklover,10," Thank you Clint Eastwood!
","I just came back from a prescreening of this film and just had to comment. It is a very timely and comes in a time in our country where the media picks who they want to deify and who they want to destroy without caring about who they hurt. Clint Eastwood has created an eloquent, but searing critique on our media dominated society. He isn't Oliver Stone that comes with outrageous conspiracies and makes everyone a villain. The film says that we are forgetting that in this country your are innocent until PROVEN guilty not the other way around.",/review/rw5333558/?ref_=tt_urv
16 December 2019,courtjes,," Upsetting but excellent.
","Even as a former prosecutor I would have liked to arrest the FBI and media people who ruined Richard Jewell's reputation, life.I wish at the end the movie clarified how he won some settlements against the offending newspaper and others. Clint Eastwood is truly amazing as an actor and a director.",/review/rw5333558/?ref_=tt_urv
15 December 2019,paul-allaer,8," Watch a man get mauled by overzealous FBI and frantic media
","""Richard Jewell"" (2019 release; 125 min.) brings the story of the suspected 1996 Atlanta bomber. As the movie opens, it is ""1986 Atlanta"" and Jewell is working as a supply room manager in a small law firm. He gets to know one of the lawyers,, Watson Bryant. We then go to ""1996 Piedmont College"" where Jewell is working as a security officer but he really sees himself as a law enforcer. Eventually, just months before the 1996 Olympics in Atlanta, he is fired by Piedmont's President... At this point we are 10 min. into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.",/review/rw5333558/?ref_=tt_urv
14 December 2019,JackCowart34,9," Great Movie Fueled by Great Performances
","The fact that this is based off of a true story makes it all the more emotionally impactful. A man and a hero's life is ripped apart by the media for no apparent reason other than to try and pin a heinous crime on the most convenient person. Seems to be the story of our time. All of the performances in this movie did the real life people this was based off of justice. Paul Walter Hauser was stunningly brilliant as Richard Jewell and elicited about as much sympathy as someone can on the big screen. Kathy Bates also delivered in spades as the emotional mother having to watch her son be wrongly accused by the United States government and the media. It's not often you have three stand out performances in one movie, but Sam Rockwell deserves some recognition too for the great work he did as Richard Jewell's lawyer and close friend. This was a story that holds a heavy message for this day and time, and Clint Eastwood portrays it in a way that is sure to stick with the viewers for a long time.",/review/rw5333558/?ref_=tt_urv
5 January 2020,boblipton,10," Life Is Complicated
","On July 27, 1996, during the Atlanta Olympics, a pipe bomb went off at the game site, killing one and injuring 111 others. The toll might have been much higher, had not a security guard, Richard Jewell, noticed a suspicious-looking package, alerted the police, and helped them partially evacuate the area. He was immediately proclaimed a hero, and sought out for interviews on television. A few days later, information was leaked that the FBI was investigating him as the bomber, and the media frenzy over his accused villainy grew wilder than before.",/review/rw5333558/?ref_=tt_urv
15 December 2019,blanbrn,9," Well done with detail a look at an unsung and common hero with courage who faced doubt!
","Clint Eastwood has once again done it as a director as he brings drama and emotion to the big screen so well. As this time with this drama type biography picture ""Richard Jewell"" which is based on the life and real events of the 1996 Olympic games bombing in Atlanta, GA which involved Richard who first was a life saving hero only to later be looked at upon by the media and government as a possible suspect.",/review/rw5333558/?ref_=tt_urv
15 December 2019,pere-25366,8," The difference between a hero and a villain can be one libellous move - 8/10 ⭐
","Eastwood has done it again, adding yet another wonderful film to what is a beyond legendary filmography. Based on the real-life story of a heroic security guard turned villain during the '66 Centennial Olympic Park bombing, we see the horrifying extent to which the media can vilify an individual, especially one as kind-hearted as Richard Jewell. So many incredible performances but ",/review/rw5333558/?ref_=tt_urv
